LY86_Treated_Sample1 LY86_Treated_Sample2 LY86_Treated_Sample3 LY86_Treated_Sample4 LY86_Treated_SampleComb
C14orf39 0.775733063 -0.0004697 -0.067583896 0.417842931 0.281380599
C3orf38 -0.053584551 0.012675974 0.07703654 0.434129655 0.117564405
C18orf54 -0.146792058 -0.267671052 -0.248403828 0.118997934 -0.135967251
C2orf73 0.15146765 0.001465522 0.145855431 -0.187568303 0.027805075
KIAA0040 0.756041967 0.554865957 -0.615934732 1.370202615 0.516293952
C11orf65 -0.139753525 -0.017485613 0.106961758 0.210466334 0.040047238
C17orf100 0.162760857 -0.207428554 -0.207428554 -0.25606333 -0.127039895
C4orf46 -0.108319816 -0.282104808 0.047065613 0.005811928 -0.084386771
C3orf20 -0.229066688 -0.320654701 -0.587938579 -0.342028351 -0.36992208
C11orf54 0.00156286 0.120060002 -0.151260683 -0.045294482 -0.018733076
C14orf93 -0.058400011 -0.8437818 -0.964890886 -0.170401591 -0.509368572
C21orf62 0.060991999 -0.245340715 -0.165170367 -0.352255919 -0.17544375
C16orf86 0.192106754 0.078449972 0.05460323 0.078449972 0.100902482
C10orf62 0.359745884 -0.030488225 -0.144145006 0.064669008 0.062445415
PTPRJ-AS1 -0.183190587 -0.250548323 -0.411012995 0.02508612 -0.204916446
KIAA0753 -0.34649691 0.115762789 -0.572884687 -0.49954823 -0.325791759
C9orf43 -0.268233089 -0.26793259 -0.15472198 -0.200818394 -0.222926513
C1orf43 -0.120206918 -0.282170909 0.083909749 0.121865049 -0.049150757
KIAA0930 -0.155352517 0.487057273 -0.575659196 -0.065963241 -0.07747942
C1orf216 0.04961607 0.197426144 0.093803513 -0.015474829 0.081342725
C17orf75 -0.025937209 0.070221553 -0.297426482 -0.094627904 -0.086942511
C5orf22 0.091823921 -0.216258817 -0.332990105 0.170120641 -0.07182609
KIAA0513 0.121445556 0.011313529 -0.302640708 -0.084311075 -0.063548175
C20orf173 0.378567631 0.181425609 -0.223627801 -0.37011389 -0.008437113
C3orf18 0.444023153 0.408035876 -0.080463785 -0.339198053 0.108099298
C18orf25 -0.035773862 -0.073876669 -0.41509287 -0.055174805 -0.144979552
C6orf141 0.83665508 0.196202737 -0.631365406 -0.553362894 -0.037967621
ZNF696 0.235053635 0.271801487 -0.094872991 -0.2392629 0.043179808
KIAA0408 0.31477856 0.146545865 0.100252212 0.507427594 0.267251058
C1orf159 -0.164240511 -0.349854111 -0.571475574 -0.3940169 -0.369896774
C10orf143 -0.03429591 0.132025 -0.108779459 0.2210683 0.052504483
C5orf15 -0.05462061 0.013069921 0.002950438 -0.001214305 -0.009953639
MATCAP2 -0.069354465 0.004371993 -0.195767622 -0.153456817 -0.103551728
C8orf58 -0.075198631 -0.223755664 -0.144819326 -0.196131417 -0.15997626
KIAA2026 0.060027898 0.48490311 -0.453783341 0.172599087 0.065936688
C1orf109 0.683543123 0.381257297 0.410941321 0.475335929 0.487769417
C1orf74 -0.031339972 -0.098789698 -0.260190335 -0.033484162 -0.105951041
A2M 0.667748057 0.255578564 0.137258597 0.08707284 0.286914515
C1orf174 -0.1538298 -0.241200451 -0.052166627 -0.249547794 -0.174186168
A4GALT 0.726261756 0.251451882 0.767615386 0.745189623 0.622629662
C14orf180 -0.036169728 -0.171206626 -0.131313899 -0.268817423 -0.151876919
C15orf48 1.196986782 0.920297439 1.915063324 1.421854989 1.363550633
C1orf116 1.064606777 0.198087165 -0.411966317 -0.219321239 0.157851596
C19orf38 1.088301686 1.54697882 0.639872752 1.419095589 1.173562212
C8orf48 -0.066675231 0.076349859 -0.127084405 -0.125202219 -0.060652999
C16orf54 1.298380895 1.023640898 0.64692033 1.48930447 1.114561648
LINC01089 0.390957522 0.489071361 -0.904768357 0.012076142 -0.003165833
C2orf49 -0.009252178 -0.121901824 -0.109279739 0.055983282 -0.046112615
C6orf132 2.090063077 -0.064973754 -1.111894802 -0.943295198 -0.007525169
C11orf68 0.098986978 0.124868117 -0.217104359 -0.16657772 -0.039956746
C16orf89 -0.353558076 -0.582868975 0.383342712 0.045947816 -0.126784131
C1orf50 -0.048793999 -0.272624355 -0.324635153 -0.610493994 -0.314136875
KIAA0319L -0.140071541 0.124007407 -0.685921458 -0.329542854 -0.257882111
C7orf25 -0.208327708 -0.150038443 -0.015173594 0.192047396 -0.045373087
KIAA1328 -0.161406316 -0.124397238 -0.535029558 -0.266872719 -0.271926458
AAAS -0.324852605 -0.729521891 -0.548792664 -0.547783904 -0.537737766
AACS -0.064193915 -0.083241582 -0.300459757 -0.544262578 -0.248039458
AADAC 0.662064569 -0.310364654 -0.310364654 -0.310364654 -0.067257348
AADACL4 0.983966438 -0.480929061 -0.480929061 -0.480929061 -0.114705186
AAGAB 0.083190835 0.155773297 -0.281478936 -0.254102497 -0.074154325
AAK1 -0.105339669 0.404817991 -1.625002409 -0.558539249 -0.471015834
AAMDC -0.382720731 0.266662736 0.229424926 -0.225682784 -0.028078963
AAMP -0.027512232 -0.001206708 0.021972673 -0.298229193 -0.076243865
AAR2 -0.173252726 0.031622901 -0.088124152 -0.060593471 -0.072586862
AARS1 -0.182367066 -0.312320325 -0.366868157 -0.349344758 -0.302725076
AARS2 0.02981151 0.010199314 -0.370248256 -0.436506101 -0.191685883
AARSD1 0.060361414 -0.04144231 0.002507151 -0.001352309 0.005018486
AASDH 0.136322092 -0.058596726 0.618985937 0.343008067 0.259929842
AASDHPPT -0.118466282 -0.058968179 0.044812279 0.090801393 -0.010455197
AASS -0.085074669 0.459994957 0.516726842 0.553345433 0.361248141
AATF -0.259319455 -0.281031327 -0.22535375 -0.189394382 -0.238774728
AATK 0.193612489 -0.072569521 -0.044372629 -0.170749915 -0.023519894
ABAT -0.283893136 0.971147846 -0.576648079 -0.034470445 0.019034047
ABCA1 0.891753921 1.045519991 0.335228681 1.259951378 0.883113493
ABCA12 -0.100504092 -0.857536737 -0.3394261 -0.116798156 -0.353566271
ABCA2 0.004235797 0.158656666 -0.674524244 -0.174953234 -0.171646254
